,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price,lat,long
0,"1520 Camelot DriveAtlanta, GA 30349",30349,Fulton,2.0,2.0,,0.021,1970,,314,0.0,2,19900,33.6021523,-84.47480759999999
1,"405 Fairburn Road SW Unit: 23Atlanta, GA 30331",30331,Fulton,2.0,1.5,,,1969,2.0,567,0.0,2,35000,33.7445996,-84.51347
2,"1312 Camelot DriveAtlanta, GA 30349",30349,Fulton,,,,0.048,1970,,704,3120.0,2,36000,33.6021523,-84.47480759999999
3,"405 Fairburn Road SW Unit: 13Atlanta, GA 30331",30331,Fulton,2.0,1.5,,27.315,2007,2.0,0,0.0,2,42000,33.7445996,-84.51347
4,"405 Fairburn Road SW Unit: 0179Atlanta, GA 30331",30331,Fulton,2.0,1.5,,,1972,4.0,336,0.0,2,55000,33.7450859,-84.51237909999999
5,"1971 Whitehall Forest CtAtlanta, GA 30316",30316,DeKalb,2.0,1.0,832.0,,1972,,749,2082.0,2,55000,33.684768,-84.31290700000001
6,"905 Camelot DriveAtlanta, GA 30349",30349,Fulton,2.0,2.0,921.0,0.021,1970,,270,270.0,2,59999,33.6021523,-84.47480759999999
7,"510 CAMELOT Drive  Unit: 510Atlanta, GA 30349",30349,Fulton,3.0,2.0,1282.0,0.029,1970,5.0,621,498.0,2,63000,33.6021523,-84.47480759999999
8,"611 Camelot Drive  Unit: 611Atlanta, GA 30349",30349,Fulton,3.0,2.0,1449.0,0.03,1970,5.0,741,249.0,2,63000,33.6021523,-84.47480759999999
9,"6 Springside Drive SWAtlanta, GA 30354",30354,Fulton,3.0,1.0,912.0,0.34,1944,1.0,1982,0.0,2,69999,33.6773228,-84.39093749999999
10,"140 SE Mount Zion  Unit: 61Atlanta, GA 30354",30354,Fulton,2.0,1.0,800.0,0.2,1972,1.0,0,8460.0,2,75000,33.6732266,-84.38542629999999
11,"1871 Whitehall Forest CourtAtlanta, GA 30316",30316,DeKalb,3.0,2.0,1346.0,0.02,1972,,173,143.0,2,85000,33.6846149,-84.316003
12,"49 Spring Lane NWAtlanta, GA 30314",30314,Fulton,2.0,1.0,856.0,0.176,1950,,879,0.0,2,90000,33.7564561,-84.4394592
13,"1903 Whitehall Forest SEAtlanta, GA 30316",30316,DeKalb,3.0,2.0,1344.0,0.02,1972,1.0,749,2028.0,2,97900,33.6847384,-84.3151731
14,"972 Hubbard Street SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,1096.0,0.08,1920,3.0,1261,0.0,2,109900,33.7283809,-84.40226679999999
15,"975 Stonewall Drive SEAtlanta, GA 30315",30315,Fulton,5.0,2.0,1008.0,0.238,1960,,55,0.0,2,110000,33.6902124,-84.3574294
16,"107 Chappell Road NWAtlanta, GA 30314",30314,Fulton,2.0,1.0,1484.0,0.172,1940,7.0,139,0.0,2,110000,33.7521631,-84.43357519999999
17,"37 Peyton Place SWAtlanta, GA 30311",30311,Fulton,2.0,1.5,1008.0,0.023,1976,,884,2124.0,2,120000,33.7528683,-84.4767078
18,"808 Thurmond Street NWAtlanta, GA 30314",30314,Fulton,2.0,2.0,,0.097,1948,,1102,0.0,2,120000,33.7603745,-84.4140043
19,"2160 Perkerson RoadAtlanta, GA 30315",30315,Fulton,2.0,1.0,1410.0,0.386,1970,,3341,0.0,2,120000,33.6947849,-84.4111727
20,"2805 Northeast Expressway  Unit: B3Atlanta, GA 30345",30345,DeKalb,1.0,1.0,528.0,,1968,,1466,3720.0,2,124900,33.860367,-84.29136369999999
21,"737 Lee Andrews SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,898.0,0.286,1956,,1070,0.0,2,124999,33.6977406,-84.3649868
22,"850 North Avenue NWAtlanta, GA 30318",30318,Fulton,1.0,1.0,,0.057,1925,,1000,0.0,2,125000,33.7699564,-84.4151943
23,"850 North Avenue NWAtlanta, GA 30318",30318,Fulton,1.0,1.0,,0.057,1925,,1000,0.0,2,125000,33.7699564,-84.4151943
24,"3145 Locke Drive SEAtlanta, GA 30316",30316,DeKalb,2.0,1.0,923.0,0.3,1954,,1103,0.0,2,129900,33.716615,-84.3312895
25,"4041 Blanton AveAtlanta, GA 30331",30331,Fulton,4.0,3.5,1566.0,0.17,2005,1.0,3124,0.0,2,129900,33.6910079,-84.52047809999999
26,"359 SW Mary Streets SWAtlanta, GA 30310",30310,Fulton,4.0,3.0,,0.06,1920,,3427,0.0,2,130000,33.729488,-84.3998041
