,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price
0,"1520 Camelot DriveAtlanta, GA 30349",30349,Fulton,2.0,2.0,,0.021,1970,,314,0.0,2,19900
1,"405 Fairburn Road SW Unit: 23Atlanta, GA 30331",30331,Fulton,2.0,1.5,,,1969,2.0,567,0.0,2,35000
2,"1312 Camelot DriveAtlanta, GA 30349",30349,Fulton,,,,0.048,1970,,704,3120.0,2,36000
3,"405 Fairburn Road SW Unit: 13Atlanta, GA 30331",30331,Fulton,2.0,1.5,,27.315,2007,2.0,0,0.0,2,42000
4,"405 Fairburn Road SW Unit: 0179Atlanta, GA 30331",30331,Fulton,2.0,1.5,,,1972,4.0,336,0.0,2,55000
5,"1971 Whitehall Forest CtAtlanta, GA 30316",30316,DeKalb,2.0,1.0,832.0,,1972,,749,2082.0,2,55000
6,"905 Camelot DriveAtlanta, GA 30349",30349,Fulton,2.0,2.0,921.0,0.021,1970,,270,270.0,2,59999
7,"510 CAMELOT Drive  Unit: 510Atlanta, GA 30349",30349,Fulton,3.0,2.0,1282.0,0.029,1970,5.0,621,498.0,2,63000
8,"611 Camelot Drive  Unit: 611Atlanta, GA 30349",30349,Fulton,3.0,2.0,1449.0,0.03,1970,5.0,741,249.0,2,63000
9,"6 Springside Drive SWAtlanta, GA 30354",30354,Fulton,3.0,1.0,912.0,0.34,1944,1.0,1982,0.0,2,69999
10,"140 SE Mount Zion  Unit: 61Atlanta, GA 30354",30354,Fulton,2.0,1.0,800.0,0.2,1972,1.0,0,8460.0,2,75000
11,"1871 Whitehall Forest CourtAtlanta, GA 30316",30316,DeKalb,3.0,2.0,1346.0,0.02,1972,,173,143.0,2,85000
12,"49 Spring Lane NWAtlanta, GA 30314",30314,Fulton,2.0,1.0,856.0,0.176,1950,,879,0.0,2,90000
13,"1903 Whitehall Forest SEAtlanta, GA 30316",30316,DeKalb,3.0,2.0,1344.0,0.02,1972,1.0,749,2028.0,2,97900
14,"972 Hubbard Street SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,1096.0,0.08,1920,3.0,1261,0.0,2,109900
15,"975 Stonewall Drive SEAtlanta, GA 30315",30315,Fulton,5.0,2.0,1008.0,0.238,1960,,55,0.0,2,110000
16,"107 Chappell Road NWAtlanta, GA 30314",30314,Fulton,2.0,1.0,1484.0,0.172,1940,7.0,139,0.0,2,110000
17,"37 Peyton Place SWAtlanta, GA 30311",30311,Fulton,2.0,1.5,1008.0,0.023,1976,,884,2124.0,2,120000
18,"808 Thurmond Street NWAtlanta, GA 30314",30314,Fulton,2.0,2.0,,0.097,1948,,1102,0.0,2,120000
19,"2160 Perkerson RoadAtlanta, GA 30315",30315,Fulton,2.0,1.0,1410.0,0.386,1970,,3341,0.0,2,120000
20,"2805 Northeast Expressway  Unit: B3Atlanta, GA 30345",30345,DeKalb,1.0,1.0,528.0,,1968,,1466,3720.0,2,124900
21,"737 Lee Andrews SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,898.0,0.286,1956,,1070,0.0,2,124999
22,"850 North Avenue NWAtlanta, GA 30318",30318,Fulton,1.0,1.0,,0.057,1925,,1000,0.0,2,125000
23,"850 North Avenue NWAtlanta, GA 30318",30318,Fulton,1.0,1.0,,0.057,1925,,1000,0.0,2,125000
24,"3145 Locke Drive SEAtlanta, GA 30316",30316,DeKalb,2.0,1.0,923.0,0.3,1954,,1103,0.0,2,129900
25,"4041 Blanton AveAtlanta, GA 30331",30331,Fulton,4.0,3.5,1566.0,0.17,2005,1.0,3124,0.0,2,129900
26,"359 SW Mary Streets SWAtlanta, GA 30310",30310,Fulton,4.0,3.0,,0.06,1920,,3427,0.0,2,130000
27,"2877 Grand Avenue SWAtlanta, GA 30315",30315,Fulton,2.0,1.5,892.0,0.247,1950,3.0,2613,0.0,2,135000
28,"405 Fairburn Road  Unit: 87Atlanta, GA 30331",30331,Fulton,3.0,1.5,,,1972,1.0,0,0.0,2,135000
29,"2981 GRANDAtlanta, GA 30315",30315,Fulton,4.0,2.0,1750.0,0.365,1940,,2143,0.0,2,135000
30,"1608 Pine Tree TrailAtlanta, GA 30349",30349,Fulton,4.0,2.5,1506.0,0.035,1990,,2081,2400.0,2,135000
31,"1909 SE Whitehall Forest CourtAtlanta, GA 30316",30316,DeKalb,4.0,2.0,1344.0,,1972,,1142,0.0,2,135000
32,"20 Marietta NW Unit: 10CAtlanta, GA 30309",30309,Fulton,1.0,1.0,448.0,,1995,5.0,1629,3800.0,2,139000
33,"1038 Orlando Pl SwAtlanta, GA 30311",30311,Fulton,2.0,1.0,1026.0,0.2,1945,2.0,3692,0.0,2,139900
34,"32 Peachtree Street NW Unit: 502Atlanta, GA 30303",30303,Fulton,1.0,1.0,,0.011,1920,3.0,1392,4200.0,2,140000
35,"32 Peachtree Street NW Unit: 602Atlanta, GA 30303",30303,Fulton,1.0,1.0,,0.011,1920,4.0,2141,4080.0,2,140000
36,"5275 OLD BILL COOK RoadAtlanta, GA 30349",30349,Fulton,2.0,1.0,1482.0,0.413,1941,,1007,0.0,2,140000
37,"1215 Wingate WayAtlanta, GA 30350",30350,Fulton,1.0,1.0,1060.0,0.018,1985,7.0,1754,3872.0,2,140001
38,"1397 Graymont Drive SWAtlanta, GA 30310",30310,Fulton,2.0,1.0,,0.172,1950,,1939,0.0,2,144900
39,"1719 ThomsAtlanta, GA 30318",30318,Fulton,2.0,1.0,784.0,0.381,1940,3.0,2198,0.0,2,145000
40,"1094 DECKNERAtlanta, GA 30310",30310,Fulton,2.0,1.0,,0.147,1935,5.0,2788,0.0,2,145000
41,"696 Center Hill AvenueAtlanta, GA 30318",30318,Fulton,3.0,1.0,1320.0,0.2,1940,,942,0.0,2,145000
42,"243 Peyton Place SWAtlanta, GA 30311",30311,Fulton,3.0,1.5,1134.0,0.026,1976,,1198,3108.0,2,147000
43,"940 Silverwood DriveAtlanta, GA 30349",30349,Clayton,3.0,2.5,,0.124,1984,,2149,0.0,2,149900
44,"5115 Norman BlvdAtlanta, GA 30349",30349,Clayton,3.0,2.0,2823.0,0.26,1962,,2763,0.0,2,149900
45,"870 Mayson Turner  Unit: 1214Atlanta, GA 30314",30314,Fulton,1.0,1.0,,0.021,2007,3.0,1334,354.0,2,149999
46,"1777 Cahoon Street SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,900.0,0.148,1950,5.0,1528,0.0,2,150000
47,"1144 Blue Ridge Avenue NE Unit: 3Atlanta, GA 30306",30306,Fulton,1.0,1.0,448.0,0.01,1920,1.0,2219,2988.0,2,150000
48,"1412 Foxhall Lane SE Unit: 9Atlanta, GA 30316",30316,DeKalb,1.0,1.0,627.0,0.1,1966,4.0,1708,2376.0,2,150000
49,"898 Oak Street SW Unit: 1307Atlanta, GA 30310",30310,Fulton,1.0,1.0,,0.016,2006,5.0,2244,4260.0,2,152900
50,"20 Marietta Street NW Unit: 10FAtlanta, GA 30303",30303,Fulton,1.0,1.0,,0.013,1995,5.0,0,353.0,2,155000
51,"1653 Richmond Avenue SEAtlanta, GA 30315",30315,Fulton,1.0,1.0,,0.158,1945,,2368,0.0,2,155000
52,"1653 Richmond Avenue SEAtlanta, GA 30315",30315,Fulton,,,,0.158,1945,,2368,0.0,2,155000
53,"1258 CEDAR KNOLL WayAtlanta, GA 30349",30349,Clayton,4.0,3.0,,0.2,1996,,1680,0.0,2,155000
54,"126 Claire Drive SEAtlanta, GA 30315",30315,Fulton,3.0,1.5,,0.194,1928,,3014,0.0,2,155000
55,"697 Fayetteville Road  Unit: 303Atlanta, GA 30316",30316,DeKalb,1.0,1.0,601.0,0.3,2024,1.0,1394,0.0,2,155280
56,"1120 SW Mcdaniel StreetAtlanta, GA 30310",30310,Fulton,2.0,1.0,806.0,3920.0,1930,,1148,0.0,2,159000
57,"1165 Kipling Street SEAtlanta, GA 30315",30315,Fulton,2.0,1.0,800.0,0.214,1950,4.0,2501,0.0,2,159900
58,"3155 Oakcliff Rd NwAtlanta, GA 30311",30311,Fulton,3.0,2.0,976.0,0.64,1940,1.0,3486,0.0,2,159900
59,"1317 Redford Drive SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,1025.0,0.209,1960,,596,0.0,2,159995
60,"2479 Peachtree Road NE Unit: 609Atlanta, GA 30305",30305,Fulton,1.0,1.0,505.0,0.012,1967,7.0,2059,4704.0,2,160000
61,"790 SW Plainville CircleAtlanta, GA 30331",30331,Fulton,3.0,1.0,1088.0,0.292,1974,,1032,0.0,2,160000
62,"460 Andrew J. HairstonAtlanta, GA 30318",30318,Fulton,4.0,2.5,,,2023,,1800,0.0,2,161900
